id;id_produto;id_pessoa;referencia;preco_compra;multiplicador;divisor
1;9830;0;7892840814861;0.000;0.000;0.000
2;9831;0;7896102500493;0.000;0.000;0.000
3;9853;0;7898994414513;0.000;0.000;0.000
4;9857;0;7891150054455;0.000;0.000;0.000
5;9858;0;7500435118507;0.000;0.000;0.000
6;9859;0;7891150044173;0.000;0.000;0.000
7;9876;0;7898955352168;0.000;0.000;0.000
8;10018;0;7891150068292;0.000;0.000;0.000
9;10019;0;7891132010165;0.000;0.000;0.000
10;10020;0;7896213003975;0.000;0.000;0.000
11;10021;0;7896007811298;0.000;0.000;0.000
12;10022;0;7896009301032;0.000;0.000;0.000
13;10023;0;7892840816339;0.000;0.000;0.000
14;10024;0;7898665520994;0.000;0.000;0.000
15;10025;0;7898665521021;0.000;0.000;0.000
16;10029;0;7898665520994;0.000;0.000;0.000
17;7239;0;7898945691598;0.000;0.000;0.000
18;10031;0;7894900026009;0.000;0.000;0.000
19;10032;0;7898226530288;0.000;0.000;0.000
20;10048;0;7896013107651;0.000;0.000;0.000
21;10059;0;7892840816643;0.000;0.000;0.000
22;10068;0;7896423497984;0.000;0.000;0.000
23;10069;0;7898324121449;0.000;0.000;0.000
24;10086;0;7896013106968;0.000;0.000;0.000
25;10111;0;070847034803;0.000;0.000;0.000
26;10124;0;7896213004613;0.000;0.000;0.000
27;10134;0;7896001210097;0.000;0.000;0.000
28;10141;0;7891515522384;0.000;0.000;0.000
29;10142;0;7891999014962;0.000;0.000;0.000
30;10143;0;7896013108634;0.000;0.000;0.000
31;10144;0;7891024034156;0.000;0.000;0.000
32;10145;0;7891024041987;0.000;0.000;0.000
33;10146;0;7896000727534;0.000;0.000;0.000
34;10147;0;7896013108177;0.000;0.000;0.000
35;10148;0;7896013108184;0.000;0.000;0.000
36;10149;0;5010093501778;0.000;0.000;0.000
37;3073;0;7898634581766;0.000;0.000;0.000
38;10164;0;7898339190157;0.000;0.000;0.000
39;10165;0;78940017;0.000;0.000;0.000
40;10166;0;78940796;0.000;0.000;0.000
41;10167;0;78940741;0.000;0.000;0.000
42;10171;0;7898217001445;0.000;0.000;0.000
43;10180;0;7891000265871;0.000;0.000;0.000
44;10181;0;7892840816315;0.000;0.000;0.000
45;10182;0;7891000285176;0.000;0.000;0.000
47;10184;0;1220000250055;0.000;0.000;0.000
48;10185;0;1220000250079;0.000;0.000;0.000
49;10186;0;7892840816025;0.000;0.000;0.000
50;10189;0;7891150058446;0.000;0.000;0.000
51;10190;0;7896007550883;0.000;0.000;0.000
52;10191;0;7896013108191;0.000;0.000;0.000
53;10193;0;7891999143389;0.000;0.000;0.000
54;10194;0;7891999650139;0.000;0.000;0.000
55;10195;0;7891025119661;0.000;0.000;0.000
56;10196;0;7891097102851;0.000;0.000;0.000
57;10197;0;7891000311257;0.000;0.000;0.000
58;10198;0;7891999904805;0.000;0.000;0.000
59;10199;0;7891999014160;0.000;0.000;0.000
60;10200;0;7891097101892;0.000;0.000;0.000
61;10201;0;7891097102813;0.000;0.000;0.000
62;10202;0;78913554;0.000;0.000;0.000
63;10203;0;7891999014887;0.000;0.000;0.000
64;10204;0;7898933879663;0.000;0.000;0.000
65;10205;0;7898304851659;0.000;0.000;0.000
66;10207;0;7891097101878;0.000;0.000;0.000
67;10219;0;070847033929;0.000;0.000;0.000
68;10220;0;7898031172833;0.000;0.000;0.000
69;10221;0;7898031172994;0.000;0.000;0.000
70;10222;0;7898031173212;0.000;0.000;0.000
71;10223;0;7898031170815;0.000;0.000;0.000
72;10224;0;7898031170792;0.000;0.000;0.000
73;10225;0;7898031170808;0.000;0.000;0.000
74;10226;0;7898031173342;0.000;0.000;0.000
75;10227;0;7898031173205;0.000;0.000;0.000
76;10229;0;2025400003794;0.000;0.000;0.000
77;10241;0;7897356525430;0.000;0.000;0.000
78;10242;0;7896009301124;0.000;0.000;0.000
79;10243;0;7891150071162;0.000;0.000;0.000
80;10244;0;7891150073630;0.000;0.000;0.000
81;10245;0;7891000285091;0.000;0.000;0.000
82;10246;0;7896013107644;0.000;0.000;0.000
83;10247;0;700083393593;0.000;0.000;0.000
84;10248;0;7898962493137;0.000;0.000;0.000
85;10249;0;7895144895390;0.000;0.000;0.000
86;10250;0;7896101711012;0.000;0.000;0.000
87;10253;0;7896213004972;0.000;0.000;0.000
88;10254;0;7896213004903;0.000;0.000;0.000
89;10255;0;7896024760319;0.000;0.000;0.000
90;10256;0;7896213005245;0.000;0.000;0.000
91;10257;0;7892840816780;0.000;0.000;0.000
92;10258;0;7891035000058;0.000;0.000;0.000
93;10259;0;7891035000270;0.000;0.000;0.000
94;10260;0;7896013108665;0.000;0.000;0.000
95;10268;0;7896213005245;0.000;0.000;0.000
96;10277;0;7898031173441;0.000;0.000;0.000
97;10278;0;7891024038703;0.000;0.000;0.000
98;10279;0;7896641309649;0.000;0.000;0.000
99;10280;0;7896369610508;0.000;0.000;0.000
132;10313;0;7898064370169;0.000;0.000;0.000
133;10314;0;7898486070203;0.000;0.000;0.000
134;10315;0;7898064370565;0.000;0.000;0.000
135;10316;0;7898965507220;0.000;0.000;0.000
136;10317;0;7898912184108;0.000;0.000;0.000
137;10319;0;7892840816858;0.000;0.000;0.000
138;10320;0;7892840816896;0.000;0.000;0.000
139;10321;0;7892840816940;0.000;0.000;0.000
140;10322;0;7892840816902;0.000;0.000;0.000
141;10323;0;7892840816919;0.000;0.000;0.000
142;10324;0;7891000311837;0.000;0.000;0.000
143;10327;0;7898938147194;0.000;0.000;0.000
144;10328;0;7896214532221;0.000;0.000;0.000
145;10329;0;7896214532405;0.000;0.000;0.000
146;10330;0;7896214533075;0.000;0.000;0.000
147;10331;0;7896214533006;0.000;0.000;0.000
148;10332;0;7896214533013;0.000;0.000;0.000
149;10333;0;7891150074255;0.000;0.000;0.000
150;10348;0;7898009431214;0.000;0.000;0.000
151;10349;0;7896213005177;0.000;0.000;0.000
152;10350;0;7896005030387;0.000;0.000;0.000
153;10358;0;7896213005160;0.000;0.000;0.000
154;10359;0;7896024723802;0.000;0.000;0.000
155;10360;0;7892840817152;0.000;0.000;0.000
156;10361;0;7899805334211;0.000;0.000;0.000
157;10376;0;7898412352335;0.000;0.000;0.000
158;10386;0;7892840817169;0.000;0.000;0.000
